,,,Offense,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Pos,MIN,G,A,S,SOG,CC,P,CR,ACR,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Konrad Laimer,AUT,M/D,362.7,0.3,0.2,2.2,0.6,3.1,119.0,6.6,3.9,4.5,9.0,3.3,1.1,9.6,0.0,0.0,0.0,4.3,5.6,0.9,0.0
Phillipp Mwene,AUT,M/D,362.7,0.3,0.2,1.9,0.4,3.3,108.6,7.6,3.5,3.9,7.7,2.6,0.7,10.5,0.0,0.0,0.0,3.6,5.4,0.4,0.0
Douglas,BRA,D,529.0,0.3,0.6,3.5,1.0,6.5,243.9,12.5,5.9,5.3,11.1,6.9,0.7,10.5,0.0,0.0,0.0,6.4,6.7,0.6,0.0
Rodrigo De Paul,ARG,M,493.8,0.3,0.5,6.6,2.1,7.1,295.1,13.2,1.2,5.3,11.0,7.2,1.0,4.4,0.0,0.0,0.0,8.0,7.4,1.2,0.0
Alexis Mac Allister,ARG,M,493.8,0.3,0.4,6.4,2.1,6.8,295.1,4.9,1.2,5.3,11.0,7.2,1.0,4.4,0.0,0.0,0.0,8.0,7.4,1.2,0.0
Lautaro Martinez,ARG,F,58.8,0.3,0.1,1.8,0.8,1.0,17.5,0.8,0.3,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,1.3,0.7,0.1,0.0
Kenny McLean,SCO,M,356.6,0.3,0.1,3.4,0.9,2.5,150.0,2.2,0.6,5.1,8.1,4.0,1.6,5.7,0.0,0.0,0.0,5.0,7.1,1.2,0.0
Ryan Christie,SCO,M,356.6,0.3,0.1,3.4,0.9,2.5,150.0,2.2,0.6,5.1,8.1,4.0,1.6,5.7,0.0,0.0,0.0,5.0,7.1,1.2,0.0
Derek Cornelius,CAN,D,387.6,0.3,0.1,2.3,0.6,1.0,178.9,0.4,0.2,5.6,6.2,3.0,3.8,20.2,0.0,0.0,0.0,3.3,4.9,1.0,0.0
Luc De Fougerolles,CAN,D,387.6,0.3,0.1,2.3,0.6,1.0,178.9,0.4,0.2,5.6,6.2,3.0,3.8,20.2,0.0,0.0,0.0,3.3,4.9,1.0,0.0
Marwan Attia Fahim Ghallab,EGY,M,351.8,0.3,0.1,3.1,0.9,2.3,147.5,2.0,0.5,5.3,8.7,6.0,1.5,5.8,0.0,0.0,0.0,4.7,7.1,1.1,0.0
Hamdi Fathy Abdelhalim Abdel Fattah,EGY,M,351.8,0.3,0.1,3.1,0.9,2.3,147.5,2.0,0.5,5.3,8.7,6.0,1.5,5.8,0.0,0.0,0.0,4.7,7.1,1.1,0.0
Robin Hranac,CZE,D,382.3,0.3,0.1,2.2,0.6,0.9,170.2,0.5,0.3,5.6,6.2,3.9,3.3,20.0,0.0,0.0,0.0,2.8,5.3,1.0,0.0
Stepan Chaloupek,CZE,D,382.3,0.3,0.1,2.2,0.6,0.9,170.2,0.5,0.3,5.6,6.2,3.9,3.3,20.0,0.0,0.0,0.0,2.8,5.3,1.0,0.0
Ladislav Krejci,CZE,M/D,382.3,0.3,0.1,2.2,0.6,0.9,170.2,0.5,0.3,5.6,6.2,3.9,3.3,20.0,0.0,0.0,0.0,2.8,5.3,1.0,0.0
Emmanuel Agbadou,CIV,D,382.3,0.3,0.1,2.2,0.6,0.9,176.0,0.4,0.2,5.9,5.7,3.8,3.9,19.7,0.0,0.0,0.0,2.8,4.6,1.0,0.0
Odilon Kossounou,CIV,D,382.3,0.3,0.1,2.2,0.6,0.9,176.0,0.4,0.2,5.9,5.7,3.8,3.9,19.7,0.0,0.0,0.0,2.8,4.6,1.0,0.0
Ramy Bensebaini,ALG,D,374.3,0.2,0.1,2.0,0.5,0.9,164.1,0.4,0.2,5.6,6.1,4.0,3.6,20.1,0.0,0.0,0.0,2.9,5.0,1.1,0.0
Aissa Mandi,ALG,D,374.3,0.2,0.1,2.0,0.5,0.9,164.1,0.4,0.2,5.6,6.1,4.0,3.6,20.1,0.0,0.0,0.0,2.9,5.0,1.1,0.0
Esmir Bajraktarevic,BIH,F/M,232.2,0.2,0.3,2.9,0.8,3.1,55.9,9.8,1.5,2.8,4.3,3.2,0.6,3.4,0.0,0.0,0.0,3.9,3.9,0.5,0.0
Seol Young-Woo,KOR,D,232.2,0.2,0.2,2.6,0.8,2.8,55.4,5.5,2.2,2.9,4.7,2.9,0.5,3.1,0.0,0.0,0.0,3.6,3.8,0.4,0.0
Amar Memic,BIH,M,232.2,0.2,0.2,3.4,0.9,2.2,57.2,4.2,0.8,2.5,4.5,3.4,0.2,2.7,0.0,0.0,0.0,3.0,3.2,0.5,0.0
Oswin Appollis,RSA,F,216.0,0.2,0.2,3.4,1.0,2.7,40.7,12.4,1.0,1.6,3.0,1.9,0.1,1.6,0.0,0.0,0.0,3.0,2.7,0.5,0.0
Lee Tae-Seok,KOR,D,232.2,0.2,0.2,3.3,0.8,2.1,56.7,4.7,1.1,2.6,4.9,3.1,0.2,2.5,0.0,0.0,0.0,2.7,3.1,0.4,0.0
Ryan Mendes,CPV,M,216.0,0.2,0.2,2.9,1.0,2.4,40.7,3.8,1.0,1.7,3.1,1.9,0.1,1.6,0.0,0.0,0.0,2.9,2.7,0.5,0.0
Chris Wood,NZL,F,243.0,0.2,0.1,4.0,1.2,1.8,33.8,1.3,0.3,0.8,1.9,0.9,0.2,2.0,0.0,0.0,0.0,3.8,4.0,0.4,0.0
Eldor Shomurodov,UZB,F,243.0,0.2,0.1,4.0,1.2,1.7,33.4,1.5,0.5,0.8,2.0,1.0,0.2,1.9,0.0,0.0,0.0,3.7,4.1,0.5,0.0
Duckens Nazon,HAI,F,243.0,0.2,0.1,3.8,1.2,1.8,35.5,1.3,0.3,0.8,1.9,0.9,0.2,2.0,0.0,0.0,0.0,3.9,4.0,0.5,0.0
Wilson Isidor,HAI,F,243.0,0.2,0.1,3.8,1.2,1.8,35.5,1.3,0.3,0.8,1.9,0.9,0.2,2.0,0.0,0.0,0.0,3.9,4.0,0.5,0.0
Jackson Irvine,AUS,M,226.8,0.2,0.1,3.8,1.0,3.4,103.0,4.2,0.9,3.4,6.5,3.5,0.6,2.9,0.0,0.0,0.0,4.8,5.5,0.8,0.0
Conor Metcalfe,AUS,M,226.8,0.2,0.1,3.8,1.0,3.4,103.0,4.2,0.9,3.4,6.5,3.5,0.6,2.9,0.0,0.0,0.0,4.8,5.5,0.8,0.0
Gervane Kastaneer,CUW,F,243.0,0.2,0.1,3.7,1.2,1.7,34.2,1.2,0.3,0.8,1.9,1.0,0.2,2.0,0.0,0.0,0.0,3.8,4.0,0.5,0.0
Aymen Hussein,IRQ,F,243.0,0.2,0.1,3.7,1.2,1.8,34.4,1.4,0.3,0.7,1.8,0.9,0.2,2.0,0.0,0.0,0.0,3.8,3.9,0.5,0.0
Ali Al Hamadi,IRQ,F,243.0,0.2,0.1,3.7,1.2,1.8,34.4,1.4,0.3,0.7,1.8,0.9,0.2,2.0,0.0,0.0,0.0,3.8,3.9,0.5,0.0
Almoez Ali,QAT,F,243.0,0.2,0.1,3.6,1.2,1.7,34.6,1.3,0.3,0.8,2.0,0.9,0.2,2.0,0.0,0.0,0.0,3.9,4.0,0.5,0.0
Tyler Adams,USA,M,361.8,0.2,0.2,3.6,1.0,3.7,160.7,3.9,1.2,3.8,8.4,4.5,0.8,3.9,0.0,0.0,0.0,4.7,6.6,0.9,0.0
Weston McKennie,USA,M/D,361.8,0.2,0.2,3.6,1.0,3.7,160.7,3.9,1.2,3.8,8.4,4.5,0.8,3.9,0.0,0.0,0.0,4.7,6.6,0.9,0.0
Rodrigo Bentancur,URU,M,354.7,0.2,0.2,3.6,1.0,3.8,167.0,3.5,0.8,4.3,8.1,4.8,0.9,3.8,0.0,0.0,0.0,4.7,6.1,0.9,0.0
Manuel Ugarte,URU,M,354.7,0.2,0.2,3.6,1.0,3.8,167.0,3.5,0.8,4.3,8.1,4.8,0.9,3.8,0.0,0.0,0.0,4.7,6.1,0.9,0.0
Josip Stanisic,CRO,D,371.4,0.2,0.3,2.4,0.6,3.2,147.3,7.6,4.5,4.8,8.6,5.7,1.0,10.1,0.0,0.0,0.0,4.3,5.3,0.8,0.0
Krepin Diatta,SEN,F/M,371.4,0.2,0.3,2.4,0.6,3.3,145.5,17.4,4.3,5.0,9.1,6.3,1.1,10.1,0.0,0.0,0.0,4.4,5.7,1.0,0.0
Joel Ordonez,ECU,D,371.4,0.2,0.3,2.1,0.6,3.2,150.4,7.2,4.4,5.0,9.3,6.1,1.1,8.3,0.0,0.0,0.0,4.5,5.6,0.9,0.0
Josko Gvardiol,CRO,D,371.4,0.2,0.3,2.1,0.5,3.3,134.5,8.7,4.0,4.2,7.5,4.6,0.6,11.0,0.0,0.0,0.0,3.7,5.2,0.4,0.0
El Hadji Malick Diouf,SEN,M/D,371.4,0.2,0.3,1.9,0.5,3.3,132.9,7.7,3.8,4.4,7.9,5.0,0.7,11.0,0.0,0.0,0.0,3.7,5.6,0.5,0.0
Pervis Estupinan,ECU,M/D,371.4,0.2,0.3,1.8,0.5,3.3,137.3,8.3,3.9,4.4,8.0,4.9,0.7,8.9,0.0,0.0,0.0,3.9,5.5,0.5,0.0
Moises Caicedo,ECU,M,346.6,0.2,0.2,3.6,1.0,3.8,164.9,10.8,0.8,4.2,7.7,4.8,0.9,3.8,0.0,0.0,0.0,4.6,6.1,0.9,0.0
Pedro Vite,ECU,F/M,346.6,0.2,0.2,3.6,1.0,3.8,164.9,10.8,0.8,4.2,7.7,4.8,0.9,3.8,0.0,0.0,0.0,4.6,6.1,0.9,0.0
"Gustavo G&oacute;mez",PAR,D,403.0,0.2,0.1,2.4,0.6,1.0,181.1,11.1,0.2,6.0,6.6,4.3,3.9,21.0,0.0,0.0,0.0,3.0,5.2,1.1,0.0
Omar Alderete,PAR,D,403.0,0.2,0.1,2.2,0.6,1.0,181.1,0.4,0.2,6.0,6.6,4.3,3.9,21.0,0.0,0.0,0.0,3.0,5.2,1.1,0.0
Borja Iglesias,ESP,F,65.3,0.2,0.1,2.1,0.9,1.2,33.5,1.0,0.3,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.3,0.7,0.0,0.0
Victor Munoz,ESP,F/M,65.3,0.2,0.1,2.1,0.9,1.2,33.5,1.0,0.3,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.3,0.7,0.0,0.0
Mikel Merino,ESP,F/M,65.3,0.2,0.1,0.9,0.3,0.9,57.7,1.1,0.4,0.5,1.2,0.7,0.1,0.4,0.0,0.0,0.0,1.0,0.7,0.1,0.0
David Moller Wolfe,NOR,D,439.3,0.2,0.7,2.6,0.8,4.6,181.5,10.2,4.8,3.9,8.3,4.6,0.7,9.5,0.0,0.0,0.0,4.6,6.0,0.5,0.1
Alistair Johnston,CAN,M/D,348.9,0.2,0.2,2.0,0.5,3.1,117.6,6.2,3.8,4.7,8.8,4.4,1.1,9.2,0.0,0.0,0.0,4.4,5.3,1.0,0.0
Andrew Robertson,SCO,D,348.9,0.2,0.2,1.7,0.3,3.2,103.7,7.3,3.5,4.0,7.1,3.2,0.7,10.6,0.0,0.0,0.0,3.5,5.1,0.5,0.0
Stephen Eustaquio,CAN,M,325.6,0.2,0.2,3.3,0.8,3.7,129.0,9.9,0.7,4.0,7.3,3.5,1.0,4.3,0.0,0.0,0.0,4.5,5.6,0.9,0.0
Aaron Hickey,SCO,D,348.9,0.2,0.2,2.0,0.5,3.0,113.5,6.3,3.9,4.6,8.2,4.0,1.1,9.7,0.0,0.0,0.0,4.2,5.2,1.0,0.0
Ismael Kone,CAN,M,325.6,0.2,0.1,3.1,0.8,3.4,129.0,3.0,0.7,4.0,7.3,3.5,1.0,4.3,0.0,0.0,0.0,4.5,5.6,0.9,0.0
Ahmed El Fotouh,EGY,D,344.1,0.2,0.2,1.6,0.4,2.9,101.9,6.9,3.0,4.2,7.6,4.8,0.7,10.7,0.0,0.0,0.0,3.3,5.1,0.5,0.0
Mohamed Hany Gamal Eldemerdash,EGY,D,344.1,0.2,0.2,1.8,0.5,2.8,111.6,6.0,3.4,4.8,8.8,6.0,1.1,9.8,0.0,0.0,0.0,3.9,5.2,1.0,0.0
Bradley Barcola,FRA,F/M,63.6,0.2,0.1,2.0,0.8,1.1,18.9,1.1,0.3,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,1.3,0.7,0.1,0.0
Marcus Thuram,FRA,F,63.6,0.2,0.1,2.0,0.8,1.1,18.9,1.1,0.3,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,1.3,0.7,0.1,0.0
Jean-Philippe Mateta,FRA,F,63.6,0.2,0.1,2.0,0.8,1.1,18.9,1.1,0.3,0.3,0.7,0.5,0.0,0.3,0.0,0.0,0.0,1.3,0.7,0.1,0.0
Nasser Al Dawsari,KSA,M,216.0,0.2,0.2,2.8,0.9,2.4,41.4,3.9,1.0,1.6,3.2,2.0,0.1,1.6,0.0,0.0,0.0,2.9,2.7,0.5,0.0
Ali Olwan,JOR,F,243.0,0.2,0.1,3.6,1.1,1.8,33.0,1.4,0.5,0.8,2.1,1.0,0.2,1.9,0.0,0.0,0.0,3.6,4.2,0.5,0.0
Kojo Peprah Oppong,GHA,D,374.3,0.2,0.1,2.0,0.5,0.9,162.8,0.5,0.3,5.8,6.2,4.1,3.2,19.8,0.0,0.0,0.0,2.8,4.8,1.0,0.0
Jonas Adjetey,GHA,D,374.3,0.2,0.1,2.0,0.5,0.9,162.8,0.5,0.3,5.8,6.2,4.1,3.2,19.8,0.0,0.0,0.0,2.8,4.8,1.0,0.0
Jerome Opoku,GHA,D,374.3,0.2,0.1,2.0,0.5,0.9,162.8,0.5,0.3,5.8,6.2,4.1,3.2,19.8,0.0,0.0,0.0,2.8,4.8,1.0,0.0
Morgan Rogers,ENG,F/M,61.4,0.2,0.1,2.0,0.8,1.2,18.5,1.0,0.3,0.3,0.7,0.3,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Ivan Toney,ENG,F,61.4,0.2,0.1,2.0,0.8,1.2,18.5,1.0,0.3,0.3,0.7,0.3,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Anthony Gordon,ENG,F/M,61.4,0.2,0.1,2.0,0.8,1.2,18.5,1.0,0.3,0.3,0.7,0.3,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Ollie Watkins,ENG,F,61.4,0.2,0.1,2.0,0.8,1.2,18.5,1.0,0.3,0.3,0.7,0.3,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Noni Madueke,ENG,F/M,61.4,0.2,0.1,2.0,0.8,1.2,18.5,1.0,0.3,0.3,0.7,0.3,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Nicolas Tagliafico,ARG,D,529.0,0.2,0.7,3.5,1.0,6.3,245.8,11.8,5.8,5.4,11.4,7.2,0.7,10.4,0.0,0.0,0.0,6.6,6.7,0.7,0.0
Nahuel Molina,ARG,M/D,529.0,0.2,0.6,4.0,1.2,6.0,269.2,10.3,6.6,6.2,13.1,9.0,1.1,9.5,0.0,0.0,0.0,7.8,6.9,1.2,0.0
Neymar,BRA,F/M,58.8,0.2,0.1,1.8,0.7,1.0,17.3,0.9,0.3,0.3,0.7,0.4,0.0,0.3,0.0,0.0,0.0,1.2,0.7,0.1,0.0
Guillermo Varela,URU,D,380.1,0.2,0.3,2.2,0.6,3.3,152.3,7.3,4.4,5.1,9.7,6.1,1.1,8.4,0.0,0.0,0.0,4.7,5.7,1.0,0.0
Mathias Olivera,URU,M/D,380.1,0.2,0.3,1.9,0.5,3.5,139.0,8.4,3.9,4.5,8.4,4.8,0.7,9.1,0.0,0.0,0.0,3.9,5.6,0.5,0.0
Santiago Gimenez,MEX,F,42.2,0.2,0.0,1.1,0.4,0.6,9.3,0.6,0.2,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Yasin Ayari,SWE,M,346.6,0.2,0.1,3.1,0.9,3.7,135.1,7.5,1.2,4.4,7.8,3.0,0.9,4.4,0.0,0.0,0.0,4.5,6.2,0.9,0.0
Jesper Karlstrom,SWE,M,346.6,0.2,0.1,3.0,0.9,3.6,135.1,3.9,1.2,4.4,7.8,3.0,0.9,4.4,0.0,0.0,0.0,4.5,6.2,0.9,0.0
Francisco Conceicao,POR,F/M,54.8,0.2,0.1,1.8,0.7,1.0,16.6,0.9,0.2,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.1,0.7,0.1,0.0
Pedro Neto,POR,F/M,54.8,0.2,0.1,1.8,0.7,1.0,16.6,0.9,0.2,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.1,0.7,0.1,0.0
Joao Felix,POR,F/M,54.8,0.2,0.1,1.8,0.7,1.0,16.6,0.9,0.2,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.1,0.7,0.1,0.0
Francisco Trincao,POR,F,54.8,0.2,0.1,1.8,0.7,1.0,16.6,0.9,0.2,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.1,0.7,0.1,0.0
Goncalo Guedes,POR,F/M,54.8,0.2,0.1,1.8,0.7,1.0,16.6,0.9,0.2,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.1,0.7,0.1,0.0
Jeremy Antonisse,CUW,F,237.6,0.2,0.2,3.3,1.1,2.6,44.8,9.5,1.1,1.4,2.9,1.5,0.1,1.2,0.0,0.0,0.0,5.2,2.7,0.3,0.0
Amir Murillo,PAN,D,232.2,0.2,0.2,2.4,0.6,2.4,49.9,7.4,1.9,3.1,4.5,2.6,0.5,3.1,0.0,0.0,0.0,3.8,4.0,0.6,0.0
Eric Davis,PAN,D,232.2,0.2,0.1,3.0,0.7,1.9,51.0,8.0,1.0,2.7,4.7,2.7,0.2,2.5,0.0,0.0,0.0,2.9,3.2,0.6,0.0
Andres Cubas,PAR,M,338.6,0.2,0.1,3.0,0.8,3.3,130.6,3.0,0.7,4.3,7.8,5.2,1.0,4.4,0.0,0.0,0.0,4.2,6.0,1.0,0.0
Damian Bobadilla,PAR,M,338.6,0.2,0.1,3.0,0.8,3.3,130.6,3.0,0.7,4.3,7.8,5.2,1.0,4.4,0.0,0.0,0.0,4.2,6.0,1.0,0.0
Tomas Soucek,CZE,M,321.2,0.2,0.1,3.0,0.8,3.1,122.7,3.3,1.0,4.0,7.3,4.6,0.8,4.2,0.0,0.0,0.0,3.9,6.0,0.9,0.0
Michal Sadilek,CZE,M,321.2,0.2,0.1,3.0,0.8,3.1,122.7,3.3,1.0,4.0,7.3,4.6,0.8,4.2,0.0,0.0,0.0,3.9,6.0,0.9,0.0
Franck Kessie,CIV,M,321.2,0.2,0.1,3.0,0.8,3.1,126.9,2.8,0.7,4.2,6.8,4.5,1.0,4.2,0.0,0.0,0.0,3.9,5.3,0.9,0.0
Ibrahim Sangare,CIV,M,321.2,0.2,0.1,3.0,0.8,3.1,126.9,2.8,0.7,4.2,6.8,4.5,1.0,4.2,0.0,0.0,0.0,3.9,5.3,0.9,0.0
Seko Fofana,CIV,M,321.2,0.2,0.1,3.0,0.8,3.1,126.9,2.8,0.7,4.2,6.8,4.5,1.0,4.2,0.0,0.0,0.0,3.9,5.3,0.9,0.0
Wout Weghorst,NED,F,49.9,0.2,0.1,1.2,0.4,0.7,14.1,0.8,0.2,0.2,0.6,0.3,0.1,0.3,0.0,0.0,0.0,0.8,0.7,0.1,0.0
Fares Chaibi,ALG,M,314.5,0.2,0.1,3.0,0.7,3.2,118.3,15.3,0.6,4.0,7.3,4.7,0.9,4.2,0.0,0.0,0.0,4.0,5.7,1.0,0.0
Hicham Boudaoui,ALG,M,314.5,0.2,0.1,2.8,0.7,3.0,118.3,2.7,0.6,4.0,7.3,4.7,0.9,4.2,0.0,0.0,0.0,4.0,5.7,1.0,0.0
Nabil Bentaleb,ALG,M,314.5,0.2,0.1,2.8,0.7,3.0,118.3,2.7,0.6,4.0,7.3,4.7,0.9,4.2,0.0,0.0,0.0,4.0,5.7,1.0,0.0
Thomas Partey,GHA,M/D,314.5,0.2,0.1,2.7,0.7,3.0,117.4,3.2,1.0,4.1,7.4,4.9,0.8,4.2,0.0,0.0,0.0,3.8,5.5,1.0,0.0
Kwasi Sibo,GHA,M,314.5,0.2,0.1,2.7,0.7,3.0,117.4,3.2,1.0,4.1,7.4,4.9,0.8,4.2,0.0,0.0,0.0,3.8,5.5,1.0,0.0
Andreas Schjelderup,NOR,F,48.8,0.2,0.1,1.4,0.6,0.8,12.9,0.8,0.2,0.2,0.5,0.3,0.1,0.2,0.0,0.0,0.0,0.9,0.7,0.1,0.0
Jorgen Strand Larsen,NOR,F,48.8,0.2,0.1,1.4,0.6,0.8,12.9,0.8,0.2,0.2,0.5,0.3,0.1,0.2,0.0,0.0,0.0,0.9,0.7,0.1,0.0
Alexander Sorloth,NOR,F,48.8,0.2,0.1,1.4,0.6,0.8,12.9,0.8,0.2,0.2,0.5,0.3,0.1,0.2,0.0,0.0,0.0,0.9,0.7,0.1,0.0
Akram Afif,QAT,F,237.6,0.2,0.2,3.4,1.0,2.6,45.3,12.7,1.1,1.4,2.9,1.5,0.1,1.2,0.0,0.0,0.0,5.4,2.7,0.3,0.0
Mahmoud Al Mardi,JOR,F,237.6,0.2,0.2,3.2,1.0,2.6,43.2,10.4,1.5,1.4,3.2,1.6,0.1,1.1,0.0,0.0,0.0,5.0,2.8,0.3,0.0
Edmilson Junior,QAT,F,237.6,0.2,0.2,3.1,1.0,1.9,44.0,10.7,0.9,1.6,2.8,1.4,0.1,1.4,0.0,0.0,0.0,3.6,3.9,0.3,0.0
Tahith Chong,CUW,F/M,237.6,0.2,0.2,2.9,1.0,1.7,43.5,4.7,0.9,1.6,2.8,1.4,0.1,1.4,0.0,0.0,0.0,3.5,3.9,0.3,0.0
Mousa Tamari,JOR,M,237.6,0.2,0.2,2.9,0.9,1.9,42.0,9.3,1.2,1.6,3.0,1.4,0.1,1.3,0.0,0.0,0.0,3.4,4.1,0.3,0.0
Nikola Katic,BIH,D,270.0,0.2,0.1,1.6,0.4,0.7,124.1,0.3,0.2,3.9,4.2,2.9,2.7,14.5,0.0,0.0,0.0,2.1,3.6,0.8,0.0
Tarik Muharemovic,BIH,D,270.0,0.2,0.1,1.6,0.4,0.7,124.1,0.3,0.2,3.9,4.2,2.9,2.7,14.5,0.0,0.0,0.0,2.1,3.6,0.8,0.0
Lee Han-Beom,KOR,D,270.0,0.2,0.1,1.5,0.4,0.6,123.0,0.3,0.2,4.1,4.6,2.6,2.3,13.2,0.0,0.0,0.0,1.9,3.5,0.7,0.0
Kim Min-Jae,KOR,D,270.0,0.2,0.1,1.5,0.4,0.6,123.0,0.3,0.2,4.1,4.6,2.6,2.3,13.2,0.0,0.0,0.0,1.9,3.5,0.7,0.0
Kim Tae-Hyeon,KOR,D,270.0,0.2,0.1,1.5,0.4,0.6,123.0,0.3,0.2,4.1,4.6,2.6,2.3,13.2,0.0,0.0,0.0,1.9,3.5,0.7,0.0
Montassar Talbi,TUN,D,270.0,0.2,0.1,1.4,0.4,0.6,125.8,0.3,0.1,4.2,4.4,3.0,2.7,14.7,0.0,0.0,0.0,2.0,3.5,0.8,0.0
Dylan Bronn,TUN,D,270.0,0.2,0.1,1.4,0.4,0.6,125.8,0.3,0.1,4.2,4.4,3.0,2.7,14.7,0.0,0.0,0.0,2.0,3.5,0.8,0.0
Shoja Khalilzadeh,IRN,D,270.0,0.2,0.1,1.4,0.3,0.5,111.9,0.2,0.1,4.3,4.4,2.6,2.8,14.3,0.0,0.0,0.0,2.0,3.4,0.8,0.0
Ali Nemati,IRN,D,270.0,0.2,0.1,1.4,0.3,0.5,111.9,0.2,0.1,4.3,4.4,2.6,2.8,14.3,0.0,0.0,0.0,2.0,3.4,0.8,0.0
Mbekezeli Mbokazi,RSA,D,270.0,0.2,0.0,1.4,0.3,0.5,112.3,0.3,0.1,4.1,4.1,2.2,2.5,13.7,0.0,0.0,0.0,2.0,3.4,0.9,0.0
Ime Okon,RSA,D,270.0,0.2,0.0,1.4,0.3,0.5,112.3,0.3,0.1,4.1,4.1,2.2,2.5,13.7,0.0,0.0,0.0,2.0,3.4,0.9,0.0
Nestory Irankunda,AUS,F,27.0,0.2,0.0,1.1,0.4,0.6,6.1,17.4,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.5,0.1,0.0
Nishan Velupillay,AUS,F,27.0,0.2,0.0,1.1,0.4,0.5,6.1,0.8,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.5,0.1,0.0
Mohamed Toure,AUS,F,27.0,0.2,0.0,1.1,0.4,0.5,6.1,0.8,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.5,0.1,0.0
Mathew Leckie,AUS,F,27.0,0.2,0.0,1.1,0.4,0.5,6.1,0.8,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.5,0.1,0.0
Tete Yengi,AUS,F,27.0,0.2,0.0,1.1,0.4,0.5,6.1,0.8,0.2,0.2,0.4,0.2,0.0,0.2,0.0,0.0,0.0,0.8,0.5,0.1,0.0
Jhon Cordoba,COL,F,44.8,0.1,0.1,1.1,0.4,0.6,11.7,0.6,0.1,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Cucho Hernandez,COL,F,44.8,0.1,0.1,1.1,0.4,0.6,11.7,0.6,0.1,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Andres Gomez,COL,F/M,44.8,0.1,0.1,1.1,0.4,0.6,11.7,0.6,0.1,0.2,0.5,0.3,0.0,0.2,0.0,0.0,0.0,0.8,0.6,0.0,0.0
Zeki Celik,TUR,M/D,371.4,0.1,0.3,2.3,0.6,3.2,143.5,7.4,4.4,4.9,9.1,5.9,1.0,10.0,0.0,0.0,0.0,4.4,5.4,0.9,0.0
Yunus Akgun,TUR,F,41.3,0.1,0.0,1.0,0.4,0.6,9.3,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Oguz Aydin,TUR,F,41.3,0.1,0.0,1.0,0.4,0.6,9.3,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Deniz Gul,TUR,F,41.3,0.1,0.0,1.0,0.4,0.6,9.3,0.6,0.2,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Anthony Elanga,SWE,F/M,41.3,0.1,0.0,0.9,0.3,0.6,8.0,4.3,0.2,0.2,0.5,0.2,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Gustaf Nilsson,SWE,F,41.3,0.1,0.0,0.8,0.3,0.6,8.0,0.7,0.2,0.2,0.5,0.2,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Alexander Bernhardsson,SWE,F,41.3,0.1,0.0,0.8,0.3,0.6,8.0,0.7,0.2,0.2,0.5,0.2,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Ramon Sosa,PAR,F/M,40.3,0.1,0.0,0.9,0.3,0.5,7.7,0.5,0.1,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
Gabriel Avalos,PAR,F,40.3,0.1,0.0,0.9,0.3,0.5,7.7,0.5,0.1,0.2,0.5,0.3,0.0,0.3,0.0,0.0,0.0,0.7,0.6,0.0,0.0
