,,,Offense,,,,,,,,,Defense,,,,,,,,Disciplinary,,,
Player,Team,Pos,MIN,G,A,S,SOG,CC,P,CR,ACR,INT,TKL,TKLW,BLK,CL,CS,GC,SV,FS,FC,Y,R
Tani Oluwaseyi,CAN,F,348.9,0.6,0.3,9.2,2.8,4.1,54.4,2.2,0.6,1.0,2.8,1.2,0.3,2.8,0.0,0.0,0.0,6.2,5.7,0.5,0.0
Davinson Sanchez,COL,D,448.3,0.6,0.2,2.8,0.9,1.2,273.7,0.5,0.2,5.4,6.7,4.0,3.5,19.9,0.0,0.0,0.0,3.5,5.7,0.9,0.0
Jhon Lucumi,COL,D,448.3,0.6,0.2,2.8,0.9,1.2,273.7,0.5,0.2,5.4,6.7,4.0,3.5,19.9,0.0,0.0,0.0,3.5,5.7,0.9,0.0
Mohamed Salah,EGY,F,305.9,0.6,0.4,5.1,1.7,4.5,61.5,15.3,1.7,2.2,4.5,3.5,0.1,2.4,0.0,0.0,0.0,4.2,3.8,0.6,0.0
Lamine Yamal,ESP,F,65.3,0.6,0.1,2.2,0.9,1.2,33.5,20.5,0.3,0.2,0.6,0.4,0.0,0.2,0.0,0.0,0.0,1.3,0.7,0.0,0.0
Lyle Foster,RSA,F,243.0,0.6,0.1,5.5,1.6,2.1,34.2,1.3,0.3,0.7,1.8,0.9,0.2,1.9,0.0,0.0,0.0,3.9,4.0,0.4,0.0
Dailon Livramento,CPV,F,243.0,0.6,0.1,5.4,1.5,2.1,34.2,1.3,0.3,0.8,1.9,0.9,0.2,2.0,0.0,0.0,0.0,3.7,4.0,0.4,0.0
Nathan Ngoy,BEL,D,466.3,0.6,0.3,3.0,0.9,1.3,294.8,0.6,0.3,5.5,7.0,4.2,3.8,20.5,0.0,0.0,0.0,3.6,5.8,0.9,0.0
Brandon Mechele,BEL,D,466.3,0.6,0.3,3.0,0.9,1.3,294.8,0.6,0.3,5.5,7.0,4.2,3.8,20.5,0.0,0.0,0.0,3.6,5.8,0.9,0.0
Iliman Ndiaye,SEN,F/M,363.1,0.6,0.6,8.1,2.8,4.3,85.7,9.1,1.8,2.2,4.2,2.5,0.1,2.2,0.0,0.0,0.0,5.7,6.1,0.3,0.0
Baris Yilmaz,TUR,F,330.1,0.6,0.6,5.9,2.2,5.0,79.1,7.5,2.2,2.2,4.7,3.4,0.1,2.5,0.0,0.0,0.0,4.7,3.9,0.5,0.0
Benjamin Nygren,SWE,F,346.6,0.6,0.5,5.7,2.0,5.9,88.3,25.3,2.4,2.3,5.5,1.9,0.5,1.9,0.0,0.0,0.0,6.4,4.3,0.4,0.0
Jefferson Lerma,COL,M/D,412.5,0.5,0.3,4.2,1.4,3.1,237.9,2.6,0.6,5.0,9.5,5.9,1.5,5.4,0.0,0.0,0.0,5.7,8.3,1.0,0.0
Richard Rios Montoya,COL,M,412.5,0.5,0.3,4.2,1.4,3.1,237.9,2.6,0.6,5.0,9.5,5.9,1.5,5.4,0.0,0.0,0.0,5.7,8.3,1.0,0.0
Goncalo Inacio,POR,D,547.7,0.5,0.3,4.6,1.5,1.9,388.6,0.7,0.4,6.6,7.9,4.9,3.5,19.5,0.0,0.0,0.0,4.9,5.7,1.0,0.0
Ruben Dias,POR,D,547.7,0.5,0.3,4.6,1.5,1.9,388.6,0.7,0.4,6.6,7.9,4.9,3.5,19.5,0.0,0.0,0.0,4.9,5.7,1.0,0.0
Marc Guehi,ENG,D,613.7,0.5,0.3,5.2,1.7,2.2,434.6,0.8,0.4,7.5,9.0,4.3,3.8,21.5,0.0,0.0,0.0,5.7,5.9,0.8,0.0
Ezri Konsa,ENG,D,613.7,0.5,0.3,5.2,1.7,2.2,434.6,0.8,0.4,7.5,9.0,4.3,3.8,21.5,0.0,0.0,0.0,5.7,5.9,0.8,0.0
Cedric Bakambu,COD,F,243.0,0.5,0.2,5.5,1.6,2.3,31.2,1.7,0.4,0.7,1.9,0.9,0.2,1.7,0.0,0.0,0.0,4.1,4.1,0.4,0.0
Yoane Wissa,COD,F,243.0,0.5,0.2,5.5,1.6,2.3,31.2,1.7,0.4,0.7,1.9,0.9,0.2,1.7,0.0,0.0,0.0,4.1,4.1,0.4,0.0
Cecilio Waterman,PAN,F,243.0,0.5,0.1,5.3,1.5,2.1,33.7,1.5,0.5,0.8,1.9,1.0,0.2,1.9,0.0,0.0,0.0,3.8,4.2,0.5,0.0
Firas Al Buraikan,KSA,F,243.0,0.5,0.1,5.2,1.5,2.1,34.8,1.4,0.3,0.7,1.9,0.9,0.2,1.9,0.0,0.0,0.0,3.7,4.0,0.4,0.0
Ritsu Doan,JPN,F/M,370.4,0.5,0.5,4.8,1.5,4.9,105.3,10.0,4.3,4.0,7.2,4.5,0.7,4.1,0.0,0.0,0.0,6.2,6.5,0.6,0.0
Daichi Kamada,JPN,F/M,361.8,0.5,0.2,3.7,1.1,3.7,168.5,4.3,1.3,3.9,8.3,4.9,0.8,3.8,0.0,0.0,0.0,4.5,6.8,0.9,0.0
Enzo Fernandez,ARG,M,493.8,0.5,0.4,6.4,2.1,6.8,295.1,4.9,1.2,5.3,11.0,7.2,1.0,4.4,0.0,0.0,0.0,8.0,7.4,1.2,0.0
Scott McTominay,SCO,M,325.6,0.5,0.4,5.4,1.7,5.0,81.3,5.7,1.6,2.1,4.8,2.0,0.5,1.9,0.0,0.0,0.0,5.9,3.9,0.4,0.0
Michel Aebischer,SUI,M,337.9,0.5,0.6,6.8,2.3,4.8,86.1,6.8,1.8,2.3,4.9,3.0,0.1,1.1,0.0,0.0,0.0,6.9,4.9,0.5,0.0
Fabian Rieder,SUI,M,354.7,0.5,0.6,6.8,2.2,5.9,108.8,20.9,1.8,2.3,5.4,2.9,0.5,1.7,0.0,0.0,0.0,6.4,4.1,0.4,0.0
Lukas Provod,CZE,M,321.2,0.5,0.4,5.2,1.7,4.7,80.2,8.5,2.0,2.1,5.2,2.9,0.4,1.8,0.0,0.0,0.0,5.5,4.2,0.5,0.0
Pavel Sulc,CZE,M,321.2,0.5,0.4,5.1,1.7,4.5,80.2,6.1,2.0,2.1,5.2,2.9,0.4,1.8,0.0,0.0,0.0,5.5,4.2,0.5,0.0
Rodri,ESP,M,548.1,0.5,0.5,7.5,2.5,7.6,566.2,5.7,1.5,4.1,9.7,6.2,0.6,3.1,0.0,0.0,0.0,8.0,6.3,0.4,0.0
Fabian Ruiz,ESP,M,548.1,0.5,0.5,7.5,2.5,7.6,566.2,5.7,1.5,4.1,9.7,6.2,0.6,3.1,0.0,0.0,0.0,8.0,6.3,0.4,0.0
Nathan Ake,NED,D,499.4,0.5,0.3,3.1,0.9,1.4,330.3,0.6,0.3,6.0,7.3,4.2,4.2,20.5,0.0,0.0,0.0,3.7,6.2,0.9,0.1
Virgil van Dijk,NED,D,499.4,0.5,0.3,3.1,0.9,1.4,330.3,0.6,0.3,6.0,7.3,4.2,4.2,20.5,0.0,0.0,0.0,3.7,6.2,0.9,0.1
Ez Abde,MAR,F/M,358.7,0.5,0.6,7.4,2.4,5.3,89.4,10.7,2.0,2.1,5.3,3.4,0.1,1.1,0.0,0.0,0.0,7.6,5.4,0.5,0.0
Bilal El Khannouss,MAR,F/M,376.6,0.5,0.5,6.6,2.3,5.7,112.9,7.5,2.0,2.0,5.8,3.3,0.4,1.8,0.0,0.0,0.0,7.0,4.6,0.4,0.0
